Version ID	Master ID	Skeletal code	Publication	Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Group ID	Locality	Country	Lat.	Long.	Data source	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mt haplogroup	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"
HGDP01259.SDG	HGDP01259	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1139396	M	..	..	..	PASS	..
HGDP01260.SDG	HGDP01260	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1134998	M	..	..	..	PASS	..
HGDP01261.SDG	HGDP01261	..	BergstromScience2020	Modern	0	0	present	Mozabite_oSubSaharan.SDG	..	Algeria	32	3	Shotgun.diploid	..	1138051	M	..	..	..	PASS	..
HGDP01262.SDG	HGDP01262	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1139635	M	..	..	..	PASS	..
HGDP01263.SDG	HGDP01263	..	BergstromScience2020	Modern	0	0	present	Mozabite_oEuropean.SDG	..	Algeria	32	3	Shotgun.diploid	..	1139243	M	..	..	..	PASS	..
HGDP01264.SDG	HGDP01264	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1138684	M	..	..	..	PASS	..
HGDP01265.SDG	HGDP01265	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1138058	M	..	..	..	PASS	..
HGDP01266.SDG	HGDP01266	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1138848	M	..	..	..	PASS	..
HGDP01267.SDG	HGDP01267	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1138381	U	n/a (sex unknown)	n/a (sex unknown)	..	PASS	..
HGDP01268.SDG	HGDP01268	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1136329	M	..	..	..	PASS	..
HGDP01269.SDG	HGDP01269	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1138045	M	..	..	..	PASS	..
HGDP01270.SDG	HGDP01270	..	BergstromScience2020	Modern	0	0	present	Mozabite_oSubSaharan.SDG	..	Algeria	32	3	Shotgun.diploid	..	1136145	F	n/a (female)	n/a (female)	..	PASS	..
HGDP01271.SDG	HGDP01271	..	BergstromScience2020	Modern	0	0	present	Mozabite_oSubSaharan.SDG	..	Algeria	32	3	Shotgun.diploid	..	1140579	M	..	..	..	PASS	..
HGDP01272.SDG	HGDP01272	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1138040	M	..	..	..	PASS	..
HGDP01274.SDG	HGDP01274	..	BergstromScience2020	Modern	0	0	present	Mozabite_oSubSaharan.SDG	..	Algeria	32	3	Shotgun.diploid	..	1141262	F	n/a (female)	n/a (female)	..	PASS	..
HGDP01275.SDG	HGDP01275	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1140549	F	n/a (female)	n/a (female)	..	PASS	..
HGDP01276.SDG	HGDP01276	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1139922	F	n/a (female)	n/a (female)	..	PASS	..
HGDP01277.SDG	HGDP01277	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1140266	F	n/a (female)	n/a (female)	..	PASS	..
HGDP01279.SDG	HGDP01279	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1139917	M	..	..	..	PASS	..
HGDP01280.SDG	HGDP01280	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1139363	F	n/a (female)	n/a (female)	..	PASS	..
HGDP01282.SDG	HGDP01282	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1140004	M	..	..	..	PASS	..
HGDP01031.SDG	HGDP01031	..	BergstromScience2020	Modern	0	0	present	BantuSA_Ovambo.SDG	..	Angola	-19	18	Shotgun.diploid	..	1136871	M	..	..	..	PASS	..
S_Chane-1.DG	TGBS21	TGBS21	MallickNature2016	Modern	0	0	present	Chane.DG	Salta, Tartagal	Argentina	-22.53	-63.82	Shotgun.diploid	58.12	1119638	M	Q-Y27993	Q1b1a1a1n~	..	PASS	SGDP, Fully Public
I1634	I1634	AR1/44	LazaridisNature2016	Direct: IntCal20	6156	80	4330-4056 calBCE (5366±31 BP, OxA-19331)	Armenia_C	Areni 1	Armenia	39.73	45.2	1240K	1.833	736891	M	L-M27	L1a1	H2a1	PASS	..
I1631	I1631	AR1/43C	LazaridisNature2016	Direct: IntCal20	6099	66	4311-4049 calBCE (5323±30 BP, OxA-19332)	Armenia_C	Areni 1	Armenia	39.73	45.2	1240K	3.202	815824	F	n/a (female)	n/a (female)	K1a8	PASS	..
I1632	I1632	AR1/46	LazaridisNature2016	Direct: IntCal20	6076	66	4236-3994 calBCE (5285±29 BP, OxA-18599)	Armenia_C	Areni 1	Armenia	39.73	45.2	1240K	2.963	796456	M	L-Y31961	L1a1	K	PASS	..
I1409	I1409	ARE20	LazaridisNature2016	Direct: IntCal20	6047	75	4230-3984 calBCE (5260±30 BP, Poz-81110)	Armenia_C	Areni 1	Armenia	39.73	45.2	1240K	0.083	92120	F	n/a (female)	n/a (female)	U4a	PASS	..
I1407	I1407	ARE12.1	LazaridisNature2016	Context: Archaeological - Period	5875	245	4350-3500 BCE	Armenia_C	Areni 1	Armenia	39.73	45.2	1240K	2.164	776205	M	L-Y31961	L1a1	H	PASS	..
ARM001	ARM001	ARM001.A0101, Kaps	WangNatureCommunications2019	Direct: IntCal20	5417	69	3625-3369 calBCE (4695±40 BP, KIA44691)	Armenia_Caucasus_EBA_KuraAraxes	South Caucasus mountains, Kaps	Armenia	40.866667	43.716667	1240K	0.974521	598706	F	n/a (female)	n/a (female)	R1a1	PASS	Literature
ARM002	ARM002	ARM001.A0101, Kaps	WangNatureCommunications2019	Direct: IntCal20; R_combine	5163	76	3356-3102 calBCE (4517±20 BP) [R_combine: (4475±30 BP, KIA-44692); (4545±25 BP, KIA-44693)]	Armenia_Caucasus_KuraAraxes	South Caucasus mountains, Kaps	Armenia	40.866667	43.716667	1240K	1.502956	685254	M	G-Y37100	G2b2	K3	PASS	Literature
I1658	I1658	TA3/R8, Talin tomb 115	LazaridisNature2016	Direct: IntCal20	5162	80	3350-3041 calBCE (4492±29 BP, OxA-31874)	Armenia_EBA	Talin	Armenia	40.382958	43.873663	1240K	3.408	814157	F	n/a (female)	n/a (female)	U3a2a	PASS	..
I1635	I1635	KA1/12	LazaridisNature2016	Direct: IntCal20	4476	46	2623-2461 calBCE (4005±35 BP, Poz-81102)	Armenia_EBA	Kalavan	Armenia	40.65	45.1167	1240K	2.877	800975	M	R-V1274	R1b1a2a	X2f	PASS	..
I1633	I1633	KA1/14	LazaridisNature2016	Direct: IntCal20	4465	48	2621-2354 calBCE (3990±35 BP, Poz-22234)	Armenia_EBA	Kalavan	Armenia	40.65	45.1167	1240K	3.342	827835	F	n/a (female)	n/a (female)	H1u	PASS	mtcontam=[0.953,0.976]
RISE413.SG	RISE413	#11	AllentoftNature2015	Direct: IntCal20	3764	52	1919-1696 calBCE (3493±34 BP, UBA-28941)	Armenia_MBA.SG	Nerquin Getashen	Armenia	40.14	45.26	Shotgun	0.034	25238	M	R1b	R1b	T2c1f	PASS	Literature
RISE416.SG	RISE416	#14	AllentoftNature2015	Direct: IntCal20	3477	49	1616-1443 calBCE (3259±40 BP, UBA-27942)	Armenia_MBA.SG	Nerquin Getashen	Armenia	40.14	45.26	Shotgun	0.025	29051	M	E	E	K1a17a	PASS	Literature
I1656	I1656	Kat16	LazaridisNature2016	Direct: IntCal20	3397	32	1502-1402 calBCE (3168±27 BP, OxA-31674)	Armenia_MBA	Katnaghbiur 1	Armenia	40.377222	43.938333	1240K	3.507	829428	F	n/a (female)	n/a (female)	T1a2	PASS	..
DA35.SG	DA35	NO_CGG#, Lchascehn t 211_46, Lchascehn t 211_46	DamgaardNature2018	Direct: IntCal20	3259	63	1421-1134 calBCE (3050±42 BP, UBA-33655)	Armenia_LBA_LchashenMetsamor.SG	Caucasus	Armenia	40.52027778	44.93083333	Shotgun	1.583	773947	F	n/a (female)	n/a (female)	J1b1a1+146	PASS	Literature
RISE423.SG	RISE423	#21	AllentoftNature2015	Direct: IntCal20	3251	57	1407-1211 calBCE (3038±32 BP, UBA-27944)	Armenia_MBA.SG	Nerquin Getashen	Armenia	40.14	45.26	Shotgun	0.642	378408	M	E-S11387	E1b1b1b2a1a1a~	T2a	PASS	Literature
DA31.SG	DA31	NO_CGG#, Lchascehn t 199_16, Lchascehn t 199_16	DamgaardNature2018	Context: Archaeological - Period	3200	87	1400-1100 BCE	Armenia_LBA_LchashenMetsamor.SG	Caucasus	Armenia	40.52027778	44.93083333	Shotgun	0.331	240558	M	I-Y16419	I2a2b	HV0a	PASS	Literature
RISE408.SG	RISE408	#6	AllentoftNature2015	Direct: IntCal20	3050	58	1212-1010 calBCE (2908±32 BP, UBA-27939)	Armenia_LBA.SG	Norabak	Armenia	40.15	45.86	Shotgun	0.106	115395	M	J-L283	J2b2a1	I5c	PASS	Literature
RISE412.SG	RISE412	#10	AllentoftNature2015	Direct: IntCal20	3018	56	1201-935 calBCE (2885±31 BP, UBA-27940)	Armenia_LBA.SG	Noratus	Armenia	40.416667	45.2	Shotgun	0.105	116569	F	n/a (female)	n/a (female)	U4c1a	PASS	Literature
RISE396.SG	RISE396	tomb 6 skeleton 1	AllentoftNature2015	Direct: IntCal20	3009	56	1196-932 calBCE (2879±31 BP, OxA-31001)	Armenia_LBA.SG	Kapan	Armenia	39.2	46.4	Shotgun	0.056	64207	F	n/a (female)	n/a (female)	H6b	PASS	Literature
RISE407.SG	RISE407	#5	AllentoftNature2015	Direct: IntCal20	2935	59	1118-854 calBCE (2827±40 BP, UBA-27938)	Armenia_LBA.SG	Norabak	Armenia	40.15	45.86	Shotgun	0.249	181928	F	n/a (female)	n/a (female)	H8a	PASS	Literature
RISE397.SG	RISE397	tomb 6 skeleton 2	AllentoftNature2015	Direct: IntCal20	2908	44	1049-846 calBCE (2807±31 BP, OxA-31002)	Armenia_LBA.SG	Kapan	Armenia	39.2	46.4	Shotgun	0.241	240025	M	R-BY3296	S1a1b1d	T1a2	PASS	Literature
S_Armenian-2.DG	S_Armenian-2	S_Armenian-2	MallickNature2016	Modern	0	0	present	Armenian.DG	Kars (ancestors from Kars, born in Akhuzyan)	Armenia	40.604517	43.100758	Shotgun.diploid	45.36	1119554	M	R-A12337	R1b1a1b1b	..	PASS	SGDP, Fully Public
S_Armenian-1.DG	armenia293	armenia293	MallickNature2016	Modern	0	0	present	Armenian.DG	Yerevan	Armenia	39.815278	46.751944	Shotgun.diploid	39.89	1119649	M	J-Z43334	J2a1a4b	..	PASS	SGDP, Fully Public
B_Australian-3.DG	B_Australian-3	B_Australian-3	MallickNature2016	Modern	0	0	present	Australian.DG	..	Australia	-13	143	Shotgun.diploid	44.4	1116944	U	n/a (sex unknown)	n/a (sex unknown)	..	PASS	SGDP version of Literature data
B_Australian-4.DG	B_Australian-4	B_Australian-4	PrueferNature2013	Modern	0	0	present	Australian.DG	..	Australia	-13	143	Shotgun.diploid	43.26	1118393	M	C-M210	C1b2b1	..	PASS	SGDP version of Literature data
I1577	I1577	KremsWA3, Burial 2 individual 3	FuNature2016	Context: Archaeological - Period	30950	289	29500-28500 BCE	Austria_KremsWA3	Krems-Wachtberg	Austria	48.41	15.59	1240K	0.216	219128	M	IJ	IJ	U5	PASS	..
I2483	I2483	Krems1-1, Burial 1 individual 1	TeschlerNicolaCommunicationsBiology2020	Context: Archaeological - Period	30850	173	29200-28600 BCE	Austria_Krems1_1	Krems-Wachtberg	Austria	48.41	15.59	1240K	1.772	708314	M	IJ	IJ	U	PASS	..
I5068	I5068	KH40	MathiesonNature2018	Context: Archaeological - Period	7088	209	5500-4775 BCE	Austria_EN_LBK	Kleinhadersdorf Flur Marchleiten	Austria	48.663197	16.589687	1240K	0.363	323161	M	J-Z6050	J2a1	T2b23	PASS	..
I5070	I5070	SCH1	MathiesonNature2018	Direct: IntCal20	7048	68	5209-4998 calBCE (6140±25 BP, PSUAMS-4224)	Austria_N_LBK	Asparn Schletz	Austria	48.579752	16.46931	1240K	3.51	849758	M	C-V86	C1a2	K1a1a	PASS	..
I5069	I5069	KH55	MathiesonNature2018	Direct: IntCal20	6961	65	5205-4907 calBCE (6090±25 BP, PSUAMS-4326)	Austria_EN_LBK	Kleinhadersdorf Flur Marchleiten	Austria	48.663197	16.589687	1240K	3.364	842949	F	n/a (female)	n/a (female)	N1a1a	PASS	..
I5204	I5204	SCH14/2	MathiesonNature2018	Context: Archaeological - Period	6950	289	5500-4500 BCE	Austria_N_LBK	Asparn Schletz	Austria	48.579752	16.46931	1240K	4.769	832770	M	G-Z6885	G2a2b2a3	J1c2	PASS	..
I5205_published	I5205	SCH2	MathiesonNature2018	Context: Archaeological - Period	6950	58	5100-4900 BCE	Austria_N_LBK	Asparn Schletz	Austria	48.579752	16.46931	1240K	4.457	831236	F	n/a (female)	n/a (female)	H	PASS	..
I5206_published	I5206	SCH3	MathiesonNature2018	Context: Archaeological - Period	6950	58	5100-4900 BCE	Austria_N_LBK	Asparn Schletz	Austria	48.579752	16.46931	1240K	3.407	810932	F	n/a (female)	n/a (female)	T2b	PASS	..
I5207_published	I5207	SCH4	MathiesonNature2018	Context: Archaeological - Period	6950	58	5100-4900 BCE	Austria_N_LBK	Asparn Schletz	Austria	48.579752	16.46931	1240K	4.447	904693	M	J-Z6046	J2a1	H67	PASS	..
I5208	I5208	SCH5	MathiesonNature2018	Context: Archaeological - Period	6950	289	5500-4500 BCE	Austria_N_LBK	Asparn Schletz	Austria	48.579752	16.46931	1240K	4.95	898278	F	n/a (female)	n/a (female)	K1b1+(16093)	PASS	..
I11699	I11699	330, 26.238	This study	Context: Archaeological - Period	2300	87	500-200 BCE	Austria_IA_LaTene	Lower Austria, St. Pölten, Pottenbrunn	Austria	48.241109	15.701654	1240K	5.192492	850541	F	n/a (female)	n/a (female)	H11a2	PASS	..
I11701	I11701	332, 26.249	This study	Context: Archaeological - Period	2300	87	500-200 BCE	Austria_IA_LaTene	Lower Austria, St. Pölten, Pottenbrunn	Austria	48.241109	15.701654	1240K	5.421026	852634	M	R-L2	R1b1a1b1a1a2b1	T2b	PASS	..
I11708	I11708	339, 26.250	This study	Context: Archaeological - Period	2300	87	500-200 BCE	Austria_IA_LaTene	Lower Austria, St. Pölten, Pottenbrunn	Austria	48.241109	15.701654	1240K	4.674159	809980	F	n/a (female)	n/a (female)	U7b	PASS	..
MTT001	MTT001	Grave 342207,12 	SkourtaniontiCell2020	Direct: IntCal20	7638	24	5730-5640 calBCE (6802 ± 23 BP, MAMS-40333) 	Azerbaijan_Caucasus_lowlands_LN	Zeyem Chaj , Mentesh Tepe 	Azerbaijan 	40.9418889	45.8327778	1240K	3.490443	844132	F	n/a (female)	n/a (female)	U7	PASS	Literature
POT002	POT002	PolutepeBurialN2 	SkourtaniontiCell2020	Direct: IntCal20	7378	34	5515-5375 calBCE (6491 ± 26 BP, MAMS-40331) 	Azerbaijan_Caucasus_lowlands_LN	Jalilabad district, Uchtepe village, Polutepe	Azerbaijan 	39.5186111	48.65	1240K	2.07429	681230	F	n/a (female)	n/a (female)	H13a2b	PASS	Literature
ALX002	ALX002	Alkhantepe Burial N2 	SkourtaniontiCell2020	Direct: IntCal20	5660	40	3776-3651 calBCE (4950 ± 23 BP, MAMS-40330) 	Azerbaijan_Caucasus_lowlands_LateC	Jalilabad district, Uchtepe village,  Alkhantepe	Azerbaijan 	39.3607139	48.4613556	1240K	0.447819	349065	M	G-CTS11562	G1a	K1a12a1a	PASS	Literature
S_Bengali-1.DG	HG03006	HG03006	MallickNature2016	Modern	0	0	present	Bengali.DG	..	Bangladesh	23.7	90.4	Shotgun.diploid	44	1118108	M	J-Y2150	J2b2a2b2a1a~	..	PASS	SGDP, Fully Public
S_Bengali-2.DG	HG03007	HG03007	MallickNature2016	Modern	0	0	present	Bengali.DG	..	Bangladesh	23.7	90.4	Shotgun.diploid	34.11	1118542	F	n/a (female)	n/a (female)	..	PASS	SGDP, Fully Public
GoyetQ116-1_udg_published	GoyetQ116-1	GoyetQ116-1	FuNature2016	Direct: IntCal20	35208	236	33678-32771 calBCE (30880±170 BP, GrA-46175)	Belgium_UP_GoyetQ116_1	Troisieme caverne of Goyet cave	Belgium	50.446	5.008	1240K	0.809227	538980	M	C-V20	C1a2	M	PASS	manual.QC
GoyetQ376-19_published_d	GoyetQ376-19	GoyetQ376-19	FuNature2016	Direct: IntCal20	27505	117	25771-25348 calBCE (23260±110 BP, GrA-54026)	Belgium_UP_GoyetQ376-19	Troisieme caverne of Goyet cave	Belgium	50.26	4.28	1240K	0.012	23467	F	n/a (female)	n/a (female)	U2	PASS	manual.QC
GoyetQ-2_udg	GoyetQ-2	GoyetQ-2	FuNature2016	Direct: IntCal20	15077	88	13305-12976 calBCE (12650±50 BP, GrA-46168)	Belgium_UP_Magdalenian_udg	Troisieme caverne of Goyet cave	Belgium	50.446	5.008	1240K	0.363266	237265	M	I-S21825	I2a1a1b	U8a	PASS	manual.QC
HGDP01028.SDG	HGDP01028	..	BergstromScience2020	Modern	0	0	present	BantuSA_Herero.SDG	..	BotswanaOrNamibia	-22	19	Shotgun.diploid	..	1141168	M	..	..	..	PASS	..
HGDP01030.SDG	HGDP01030	..	BergstromScience2020	Modern	0	0	present	BantuSA.SDG	..	BotswanaOrNamibia	-28	24	Shotgun.diploid	..	1140679	M	..	..	..	PASS	..
HGDP01034.SDG	HGDP01034	..	BergstromScience2020	Modern	0	0	present	BantuSA.SDG	..	BotswanaOrNamibia	-28	24	Shotgun.diploid	..	1140560	M	..	..	..	PASS	..
HGDP01035.SDG	HGDP01035	..	BergstromScience2020	Modern	0	0	present	BantuSA_Herero.SDG	..	BotswanaOrNamibia	-22	19	Shotgun.diploid	..	1141017	M	..	..	..	PASS	..
HGDP00832.SDG	HGDP00832	..	BergstromScience2020	Modern	0	0	present	Surui.SDG	..	Brazil	-11	-62	Shotgun.diploid	..	1138808	F	n/a (female)	n/a (female)	..	PASS	..
HGDP00837.SDG	HGDP00837	..	BergstromScience2020	Modern	0	0	present	Surui.SDG	..	Brazil	-11	-62	Shotgun.diploid	..	1137759	M	..	..	..	PASS	..
HGDP00838.SDG	HGDP00838	..	BergstromScience2020	Modern	0	0	present	Surui.SDG	..	Brazil	-11	-62	Shotgun.diploid	..	1139391	F	n/a (female)	n/a (female)	..	PASS	..
HGDP00843.SDG	HGDP00843	..	BergstromScience2020	Modern	0	0	present	Surui.SDG	..	Brazil	-11	-62	Shotgun.diploid	..	1138524	M	..	..	..	PASS	..
HGDP00845.SDG	HGDP00845	..	BergstromScience2020	Modern	0	0	present	Surui.SDG	..	Brazil	-11	-62	Shotgun.diploid	..	1138116	M	..	..	..	PASS	..
HGDP00846.SDG	HGDP00846	..	BergstromScience2020	Modern	0	0	present	Surui.SDG	..	Brazil	-11	-62	Shotgun.diploid	..	1141299	F	n/a (female)	n/a (female)	..	PASS	..
HGDP00849.SDG	HGDP00849	..	BergstromScience2020	Modern	0	0	present	Surui.SDG	..	Brazil	-11	-62	Shotgun.diploid	..	1139134	M	..	..	..	PASS	..
HGDP00852.SDG	HGDP00852	..	BergstromScience2020	Modern	0	0	present	Surui.SDG	..	Brazil	-11	-62	Shotgun.diploid	..	1140581	F	n/a (female)	n/a (female)	..	PASS	..
HGDP00995.SDG	HGDP00995	..	BergstromScience2020	Modern	0	0	present	Karitiana.SDG	..	Brazil	-10	-63	Shotgun.diploid	..	1140417	F	n/a (female)	n/a (female)	..	PASS	..
HGDP00998.SDG	HGDP00998	..	BergstromScience2020	Modern	0	0	present	Ignore_Karitiana(discovery).SDG	..	Brazil	-10	-63	Shotgun.diploid	..	1125308	M	..	..	..	PASS	..
HGDP00999.SDG	HGDP00999	..	BergstromScience2020	Modern	0	0	present	Karitiana.SDG	..	Brazil	-10	-63	Shotgun.diploid	..	1138190	F	n/a (female)	n/a (female)	..	PASS	..
HGDP01001.SDG	HGDP01001	..	BergstromScience2020	Modern	0	0	present	Karitiana.SDG	..	Brazil	-10	-63	Shotgun.diploid	..	1137001	F	n/a (female)	n/a (female)	..	PASS	..
HGDP01009.SDG	HGDP01009	..	BergstromScience2020	Modern	0	0	present	Karitiana.SDG	..	Brazil	-10	-63	Shotgun.diploid	..	1138640	M	..	..	..	PASS	..
HGDP01010.SDG	HGDP01010	..	BergstromScience2020	Modern	0	0	present	Karitiana.SDG	..	Brazil	-10	-63	Shotgun.diploid	..	1139683	U	n/a (sex unknown)	n/a (sex unknown)	..	PASS	..
HGDP01012.SDG	HGDP01012	HGDP01012	BergstromScience2020	Modern	0	0	present	Karitiana.SDG	..	Brazil	-10	-63	Shotgun.diploid	..	1141412	M	..	..	..	PASS	..
HGDP01013.SDG	HGDP01013	..	BergstromScience2020	Modern	0	0	present	Karitiana.SDG	..	Brazil	-10	-63	Shotgun.diploid	..	1138942	M	..	..	..	PASS	..
HGDP01014.SDG	HGDP01014	..	BergstromScience2020	Modern	0	0	present	Karitiana.SDG	..	Brazil	-10	-63	Shotgun.diploid	..	1138961	U	n/a (sex unknown)	n/a (sex unknown)	..	PASS	..
HGDP01015.SDG	HGDP01015	HGDP01015	BergstromScience2020	Modern	0	0	present	Karitiana.SDG	..	Brazil	-10	-63	Shotgun.diploid	..	1134749	M	..	..	..	PASS	..
HGDP01018.SDG	HGDP01018	HGDP01018	BergstromScience2020	Modern	0	0	present	Karitiana.SDG	..	Brazil	-10	-63	Shotgun.diploid	..	1140837	F	n/a (female)	n/a (female)	..	PASS	..
HGDP01019.SDG	HGDP01019	..	BergstromScience2020	Modern	0	0	present	Karitiana.SDG	..	Brazil	-10	-63	Shotgun.diploid	..	1139334	M	..	..	..	PASS	..
S_Dusun-1.DG	Dusun22	Dusun22	MallickNature2016	Modern	0	0	present	Dusun.DG	Tutong District, Lamunin	Brunei	4.7	114.7	Shotgun.diploid	50.55	1119810	F	n/a (female)	n/a (female)	..	PASS	SGDP, Fully Public
