Version ID	Master ID	Skeletal code	Publication	Method for Determining Date (including any warnings)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Group ID	Locality	Country	Lat.	Long.	Data type	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex	Family ID and position within family	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mt haplogroup	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	SNP >=30000	Not questionable	 Not 1d relative of another high coverage sample	1240k data	UDG treated or modern or expected low damage due to diploid consensus calling	Coarse Subregion	Fine Subregion	Period	P-value for qpAdm (2-way model) (Balkan_N new)	EEF (2-way model)	EEF err. (2-way model)	P-value for qpAdm (3-way model)	WHG (3-way model)	EEF (3-way model)	Steppe (3-way model)	WHG err. (3-way model)	EEF err. (3-way model)	Steppe err. (3-way model)	Z-score for non-zero Steppe ancestry	Maximum P-value for 2-way and 3-way qpAdm	Filter 0: >=30000 SNPs, PASS assessment, relevant period, not a first degree relative of higher coverage individuals)	Filter 1: Filter 0 plus p>0.01 qpAdm 3-way or qpAdm 2-way	Filter 1 alternative: Version of Filter 1 but with subregional classifications in the Iron Age	"Filter 2: Filter 1 +  significant outliers by qpWave from other individuals of the comparison group that are not labeled as ""Ignore"" or  outlier; for ""Neolithic"" we also reject if Z>2.58 for steppe ancestry. We label all individuals where non-Ignore individuals are P<0.05 or less after the first is significant at P<0.005 as extreme outliers"	Filter 2 comparison group	P-values from main comparison group (from 1240k data when a 1240k sample, from all samples when a .SG sample)
I11708	I11708	339, 26.250	This study	Context: Archaeological - Period	2300	87	500-200 BCE	Austria_IA_LaTene	Lower Austria, St. Pölten, Pottenbrunn	Austria	48.241109	15.701654	1240K	1	4.674159	809980	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U7b	ds.half	S11708.Y1.E2.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Austria	IA	0	0.73	0.012	0.814322	0.139	0.512	0.349	0.014	0.018	0.021	16.6	0.814322	Use	Austria.Hungary.Slovenia_IA	Austria_IA	Austria.Hungary.Slovenia_IA	Austria.Hungary.Slovenia_IA	0.989956
I16437	I16437	TB 150; 101 (second date is from 106 which is labeled in the museum as being from same individual)	This study	Direct: IntCal20; R_combine (WARNING marine corrected from SUERC-96213 certificate is 4237-3988 BCE but would need to repeat this after R_combine)	6091	59	4241-4050 calBCE (5315±21 BP) [R_combine: (5336±24 BP, SUERC-96213); (5263±38 BP, OxA-12542)]	ChannelIslands_MN	Channel Islands, Guernsey, Vale, Le Déhus	Channel Islands	49.497153	-2.506461	1240K	1	0.161398	171083	F	n/a (no relatives detected)	n/a (female)	n/a (female)	K1b1a1	ds.half	S16437.Y1.E1.L1	PASS	..	1	1	1	1	1	Channel.Islands	Channel.Islands	N	0.701219	0.832	0.014	0.545722	0.163	0.821	0.016	0.017	0.02	0.023	0.7	0.701219	Use	Channel.Islands_8100.to.5700BP	Channel.Islands_8100.to.5700BP	Channel.Islands_8100.to.5700BP	Channel.Islands_8100.to.5700BP	0.409648
I16427	I16427	TB139; 119	This study	Direct: IntCal20 marine calibrated; we don't have the mean and standard deviations from OxCal so assume a uniform distribution over the given range.	6057	74	4234-3979 calBCE (5328±23 BP, SUERC-96214, marine calibrated)	ChannelIslands_MN	Channel Islands, Guernsey, Vale, Le Déhus	Channel Islands	49.497153	-2.506461	1240K	1	0.045496	52160	M	Channel Islands, Guernsey, Dehus Family A (2 members) (I16427 and I16444 are 2nd or 3rd degree relatives)	I-M423	I2a1a2	X2b+226	ds.half	S16427.Y1.E1.L1	PASS	..	1	1	1	1	1	Channel.Islands	Channel.Islands	N	0.127031	0.864	0.021	0.880391	0.106	0.817	0.076	0.026	0.03	0.037	2.1	0.880391	Use	Channel.Islands_8100.to.5700BP	Channel.Islands_8100.to.5700BP	Channel.Islands_8100.to.5700BP	Channel.Islands_8100.to.5700BP	0.10621
I16444	I16444	TB 182; 97	This study	Direct: IntCal20 marine calibrated; we don't have the mean and standard deviations from OxCal so assume a uniform distribution over the given range.	6048	75	4228-3968 calBCE (5304±24 BP, SUERC-96212, marine calibrated)	ChannelIslands_MN	Channel Islands, Guernsey, Vale, Le Déhus	Channel Islands	49.497153	-2.506461	1240K	1	1.378166	718752	M	Channel Islands, Guernsey, Dehus Family A (2 members) (I16427 and I16444 are 2nd or 3rd degree relatives)	I-M423	I2a1a2	J1c1b1	ds.half	S16444.Y1.E1.L1	PASS	Xcontam=[0.009,0.019]	1	1	1	1	1	Channel.Islands	Channel.Islands	N	0.697125	0.835	0.013	0.700951	0.161	0.824	0.015	0.015	0.016	0.018	0.8	0.700951	Use	Channel.Islands_8100.to.5700BP	Channel.Islands_8100.to.5700BP	Channel.Islands_8100.to.5700BP	Channel.Islands_8100.to.5700BP	0.172811
I16436_d	I16436	TB 149; GMAG 3171d	This study	Direct: IntCal20	5814	55	3954-3773 calBCE (5050±29 BP, MAMS-14949)	ChannelIslands_C_lc	Channel Islands, Herm, The Common	Channel Islands	49.4794	-2.4521	1240K	1	0.005796	7073	M	n/a (no relatives detected)	..	..	HV	ds.half	S16436.Y1.E1.L1	PASS	..	0	1	1	1	1	Channel.Islands	Channel.Islands	N	0.293839	0.855	0.052	0.315777	0.198	0.927	-0.125	0.066	0.083	0.106	-1.2	0.315777	Do not pool into main transects (<30000 SNPs)	Ignore_Channel.Islands_8100.to.5700BP	Ignore_Channel.Islands_8100.to.5700BP	Ignore_Channel.Islands_8100.to.5700BP	Channel.Islands_8100.to.5700BP	0.621856
I16435_d	I16435	TB 148; GMAG 3167a	This study	Direct: IntCal20	5531	39	3646-3527 calBCE (4817±28 BP, MAMS-14945)	ChannelIslands_C_lc	Channel Islands, Herm, The Common	Channel Islands	49.4794	-2.4521	1240K	1	0.003325	4063	M	n/a (no relatives detected)	..	..	H	ds.half	S16435.Y1.E1.L1	QUESTIONABLE	2500.to.5000.SNPs	0	0	1	1	1	Channel.Islands	Channel.Islands	N	0.52109	0.835	0.072	0.394057	0.129	0.773	0.098	0.085	0.104	0.123	0.8	0.52109	Do not pool into main transects (<30000 SNPs + QUESTIONABLE)	Ignore_Channel.Islands_5700.to.4350BP	Ignore_Channel.Islands_5700.to.4350BP	Ignore_Channel.Islands_5700.to.4350BP	Channel.Islands_5700.to.4350BP	0.131096
I16429	I16429	TB 141; 63	This study	Direct: IntCal20	4935	47	3088-2914 calBCE (4381±23 BP, SUERC-96206)	ChannelIslands_LN	Channel Islands, Guernsey, Vale, Le Déhus	Channel Islands	49.497153	-2.506461	1240K	1	0.062322	70334	M	n/a (no relatives detected)	I2	I2	K1	ds.half	S16429.Y1.E1.L1	PASS	mtcontam=[0.917,0.964]	1	1	1	1	1	Channel.Islands	Channel.Islands	N	0.213087	0.643	0.019	0.098022	0.349	0.628	0.022	0.022	0.028	0.033	0.7	0.213087	Use	Channel.Islands_5700.to.4350BP	Channel.Islands_5700.to.4350BP	Channel.Islands_5700.to.4350BP	Channel.Islands_5700.to.4350BP	0.102286
I16425	I16425	TB 137; 65	This study	Direct: IntCal20	4929	43	3083-2912 calBCE (4373±23 BP, SUERC-96207)	ChannelIslands_LN	Channel Islands, Guernsey, Vale, Le Déhus	Channel Islands	49.497153	-2.506461	1240K	1	0.626151	501384	F	n/a (no relatives detected)	n/a (female)	n/a (female)	K1a4a1	ds.half	S16425.Y1.E1.L1	PASS	..	1	1	1	1	1	Channel.Islands	Channel.Islands	N	0.542827	0.68	0.014	0.645582	0.313	0.668	0.02	0.016	0.017	0.018	1.1	0.645582	Use	Channel.Islands_5700.to.4350BP	Channel.Islands_5700.to.4350BP	Channel.Islands_5700.to.4350BP	Channel.Islands_5700.to.4350BP	0.741584
I16438	I16438	TB 151; 61	This study	Direct: IntCal20 marine calibrated; we don't have the mean and standard deviations from OxCal so assume a uniform distribution over the given range.	4384	77	2567-2301 calBCE (3987±23 BP, SUERC-96208, marine calibrated)	ChannelIslands_LN	Channel Islands, Guernsey, Vale, Le Déhus	Channel Islands	49.497153	-2.506461	1240K	1	0.187418	196535	M	n/a (no relatives detected)	I-L623	I2a1b1a2b2	J1c8	ds.half	S16438.Y1.E1.L1	PASS	mtcontam=[0.937,0.974]	1	1	1	1	1	Channel.Islands	Channel.Islands	N	0.224361	0.706	0.015	0.748997	0.28	0.681	0.039	0.017	0.02	0.023	1.7	0.748997	Use	Channel.Islands_5700.to.4350BP	Channel.Islands_5700.to.4350BP	Channel.Islands_5700.to.4350BP	Channel.Islands_5700.to.4350BP	0.23581
I26628	I26628	LON19/#270	This study	Direct: IntCal20 marine calibrated; we don't have the mean and standard deviations from OxCal so assume a uniform distribution over the given range. The above date ranges have been calibrated using a mix of the IntCal20† and Marine20‡ calibration curves. Human bone collagen with a δ¹³C value above -20‰, accompanied by a raised δ¹⁵N value, is taken to indicate a marine component in the diet. The percentage contribution of this marine component is calculated using end-members of -21.0‰ (fully terrestrial) and -12.5‰ (fully marine) with an uncertainty of 10% applied. The δ¹³C value of -19.4‰ gives a 19% marine contribution (±10%). A regional marine offset (ΔR) of -150 ± 52 years has been used in the calibration.	2549	100	756-416 calBCE (2457±29 BP, SUERC-96764)	ChannelIslands_EIA	Channel Islands, Alderney, Longis Common	Channel Islands	49.721729	-2.177469	1240K	1	0.25	214510	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H61	ds.half	S26628.Y1.E1.L1	PASS	..	1	1	1	1	1	Channel.Islands	Channel.Islands	IA	0	0.671	0.015	0.510991	0.138	0.418	0.444	0.017	0.02	0.026	17.1	0.510991	Use	Channel.Islands_IA	Channel.Islands_IA	Channel.Islands_IA	Channel.Islands_IA	0.528673
I26630	I26630	LON19/#276	This study	Direct: IntCal20	2483	101	749-403 calBCE (2425±29 BP, SUERC-96766)	ChannelIslands_EIA	Channel Islands, Alderney, Longis Common	Channel Islands	49.721729	-2.177469	1240K	1	0.016	16097	M	n/a (no relatives detected)	..	..	H61	ds.half	S26630.Y1.E1.L1	PASS	..	0	1	1	1	1	Channel.Islands	Channel.Islands	IA	0	0.694	0.036	0.34562	0.139	0.474	0.387	0.043	0.049	0.065	6	0.34562	Do not pool into main transects (<30000 SNPs)	Ignore_Channel.Islands_IA	Ignore_Channel.Islands_IA	Ignore_Channel.Islands_IA	Channel.Islands_IA	0.61197
I16430	I16430	TB 142; LON17/83, Skull 1	This study	Direct: IntCal20	2084	58	337-52 calBCE (2118±24 BP, SUERC-96204)	ChannelIslands_IA	Channel Islands, Alderney, Longis Common	Channel Islands	49.721729	-2.177469	1240K	1	0.390165	350480	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H61	ds.half	S16430.Y1.E1.L1	PASS	mtcontam=[0.935,0.972]	1	1	1	1	1	Channel.Islands	Channel.Islands	IA	0	0.688	0.014	0.785051	0.159	0.465	0.375	0.016	0.019	0.023	16.3	0.785051	Use	Channel.Islands_IA	Channel.Islands_IA	Channel.Islands_IA	Channel.Islands_IA	0.701263
I16505	I16505	TB 145; LON17/60	This study	Direct: IntCal20	2058	42	174-45 calBCE (2097±23 BP, SUERC-96202)	ChannelIslands_IA	Channel Islands, Alderney, Longis Common	Channel Islands	49.721729	-2.177469	1240K	1	0.174135	181296	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H61	ds.half	S16505.Y1.E1.L1	PASS	..	1	1	1	1	1	Channel.Islands	Channel.Islands	IA	0	0.655	0.015	0.142729	0.165	0.396	0.439	0.017	0.02	0.026	16.9	0.142729	Use	Channel.Islands_IA	Channel.Islands_IA	Channel.Islands_IA	Channel.Islands_IA	0.583137
I26629	I26629	LON19/272	This study	Direct: IntCal20 marine calibrated; we don't have the mean and standard deviations from OxCal so just assume a uniform distribution. The above date ranges have been calibrated using a mix of the IntCal20† and Marine20‡ calibration curves. Human bone collagen with a δ¹³C value above -20‰, accompanied by a raised δ¹⁵N value, is taken to indicate a marine component in the diet. The percentage contribution of this marine component is calculated using end-members of -21.0‰ (fully terrestrial) and -12.5‰ (fully marine) with an uncertainty of 10% applied. The δ¹³C value of -19.3‰ gives a 20% marine contribution (±10%). A regional marine offset (ΔR) of -150 ± 52 years has been used in the calibration.	1990	75	170 calBCE - 90 calCE (2098±29 BP, SUERC-96765)	ChannelIslands_LIA_LaTene	Channel Islands, Alderney, Longis Common	Channel Islands	49.721729	-2.177469	1240K	1	0.125	118586	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U5a1b1	ds.half	S26629.Y1.E1.L1	PASS	..	1	1	1	1	1	Channel.Islands	Channel.Islands	IA	0	0.685	0.017	0.754736	0.147	0.432	0.422	0.02	0.024	0.029	14.6	0.754736	Use	Channel.Islands_IA	Channel.Islands_IA	Channel.Islands_IA	Channel.Islands_IA	0.624806
I26738	I26738	Grave 3; P9181_M-C	This study	Context: Archaeological - Period	7125	159	5450-4900 BCE	Croatia_MN	Gornja Vrba-Savsko polje	Croatia	45.152216	18.062813	1240K	1	1.093	644850	F	n/a (no relatives detected)	n/a (female)	n/a (female)	T2b	ds.half	S26738.Y1.E1.L1	PASS	mtcontam=[0.957,0.970]	1	1	1	1	1	Croatia.Serbia	Croatia	N	0.873982	0.962	0.012	0.645105	0.037	0.955	0.008	0.014	0.016	0.018	0.4	0.873982	Use	Croatia.Serbia_8100.to.4500BP	Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP	0.995546
I4167	I4167	GEN_69	MathiesonNature2018	Direct: IntCal20	6635	60	4792-4552 calBCE (5830±40 BP, Poz-90127)	Croatia_N_Starcevo	Beli Manastir-Popova zemlja	Croatia	45.338767	18.698861	1240K	1	0.051	58394	M	n/a (no relatives detected)	I2	I2	U5b2b	ds.half	S4167.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	N	0.578407	0.968	0.02	0.41076	0.024	0.951	0.025	0.025	0.03	0.037	0.7	0.578407	Use	Croatia.Serbia_8100.to.4500BP	Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP	0.538676
I4168	I4168	GEN_70	MathiesonNature2018	Direct: IntCal20	6588	55	4777-4538 calBCE (5790±40 BP, Poz-90128)	Croatia_MN_Sopot	Beli Manastir-Popova zemlja	Croatia	45.338767	18.698861	1240K	1	0.192	197550	F	n/a (no relatives detected)	n/a (female)	n/a (female)	N1a1a	ds.half	S4168.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	N	0.390393	0.946	0.014	0.160438	0.056	0.943	0.002	0.017	0.019	0.022	0.1	0.390393	Use	Croatia.Serbia_8100.to.4500BP	Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP	0.638227
I26741	I26741	AN6, G2; P9183	This study	Direct: IntCal20	6585	47	4713-4548 calBCE (5786±30 BP, SUERC-50664)	Croatia_MN_Sopot	Osijek-Hermanov vinograd	Croatia	45.55101	18.746617	1240K	1	6.513	880904	F	n/a (no relatives detected)	n/a (female)	n/a (female)	T2b	ds.half	S26741.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	N	0.239505	0.942	0.011	0.48063	0.071	0.956	-0.027	0.013	0.015	0.018	-1.5	0.48063	Use	Croatia.Serbia_8100.to.4500BP	Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP	0.298444
I5079	I5079	RAD1	MathiesonNature2018	Direct: IntCal20	5421	114	3651-3110 calBCE (4700±90 BP, Beta-187421)	Croatia_N_Starcevo	Radovanci	Croatia	45.488514	17.641285	1240K	1	2.758	812349	F	n/a (no relatives detected)	n/a (female)	n/a (female)	J1c2	ds.half	S5079.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	N	0.793984	0.95	0.012	0.615103	0.049	0.94	0.011	0.014	0.017	0.018	0.6	0.793984	Use	Croatia.Serbia_8100.to.4500BP	Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP	0.873093
I4175	I4175	GEN99	MathiesonNature2018	Context: Archaeological - Period	4800	87	3000-2700 BCE	Croatia_LateC_EBA_Vucedol	Vučedol Tell	Croatia	45.335618	19.060547	1240K	1	0.05	56951	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U4a	ds.half	S4175.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	C.EBA	0	0.702	0.021	0.14987	0.098	0.367	0.535	0.025	0.033	0.042	12.7	0.14987	Use	Croatia.Serbia_8100.to.4500BP	Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP_extremehighSteppe	Croatia.Serbia_8100.to.4500BP	0
