Index	Version ID	Master ID	Skeletal code	Skeletal element	Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Publication	Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Age at Death Estimate	Group ID	Locality	Country	Lat.	Long.	Data source	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Y haplogroup  in ISOGG v15.73 notation (automatically called)	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 or published	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e..1	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	Y haplogroup in terminal mutation notation (automatically called)	mt haplogroup	Method for Determining Date (including any warnings)	Data type	SNP >=30000	Not questionable	 Not 1d relative of another high coverage sample	1240k data	UDG treated or modern or expected low damage due to diploid consensus calling	Coarse Subregion	Fine Subregion	Period	P-value for qpAdm (2-way model) (Balkan_N new)	EEF (2-way model)	EEF err. (2-way model)	P-value for qpAdm (3-way model)	WHG (3-way model)	EEF (3-way model)	Steppe (3-way model)	WHG err. (3-way model)	EEF err. (3-way model)	Steppe err. (3-way model)	Z-score for non-zero Steppe ancestry	Maximum P-value for 2-way and 3-way qpAdm	Filter 0: >=30000 SNPs, PASS assessment, relevant period, not a first degree relative of higher coverage individuals)	Filter 1: Filter 0 plus p>0.01 qpAdm 3-way or qpAdm 2-way	Filter 1 alternative: Version of Filter 1 but with subregional classifications in the Iron Age	"Filter 2: Filter 1 +  significant outliers by qpWave from other individuals of the comparison group that are not labeled as ""Ignore"" or  outlier; for ""Neolithic"" we also reject if Z>2.58 for steppe ancestry. We label all individuals where non-Ignore individuals are P<0.05 or less after the first is significant at P<0.005 as extreme outliers"	Filter 2 comparison group	P-values from main comparison group (from 1240k data when a 1240k sample, from all samples when a .SG sample)
	I5508	I5508	Sk57			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	4.532	832340		M	United Kingdom, England, Pocklington Family B (4 members) (I14105-I13751 have a 2d or 3d relationship; I5508-I14108 have a 2d or 3d relationship; I14105-I5508 have a 2d or 3d relationship)	R1b1a1b1a1a2c1																ds.half	S5508.E1.L1	PASS	..	R-L21	J1c9	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.662	0.013	0.727553	0.117	0.361	0.522	0.015	0.017	0.021	24.9	0.727553	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.851291
	I5509	I5509	Sk78			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	0.794	542429		M	United Kingdom, England, Pocklington Family D (2 members) (I14102-I5509 are 2nd or 3rd degree relatives)	R1b1a1b1a1a2c1a6																ds.half	S5509.E1.L1	PASS	..	R-Y31855	K1c1a	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.684	0.012	0.779488	0.14	0.378	0.481	0.013	0.018	0.021	22.9	0.779488	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.97893
	I5510	I5510	Sk83			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	0.42	363997		F	n/a (no relatives detected)	n/a (female)																ds.half	S5510.E1.L1	PASS	damage.ds.half=0.041	n/a (female)	K1c1a	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.648	0.015	0.171727	0.143	0.383	0.474	0.016	0.018	0.022	21.5	0.171727	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.69154
	I5511	I5511	Sk85			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	5.127	850049		M	United Kingdom, England, Pocklington Family E (2 members) (I13752 and I5511 are siblings)	R1b1a1b1a1a2c1																ds.half	S5511.E1.L1	PASS	..	R-DF63	J1c9	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.681	0.013	0.115855	0.12	0.399	0.482	0.014	0.017	0.021	23.0	0.115855	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.605832
	I5365	I5365	SB601A			This study		1960	45	103 calBCE - 107 calCE (2023±31 BP, SUERC-50796)		England_LIA	England, Somerset, Priddy	United Kingdom	51.255523	-2.667883		1	0.112	118539		F	n/a (no relatives detected)	n/a (female)																ds.half	S5365.L1	PASS	damage.ds.half=0.026	n/a (female)	U5a1b1e	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	IA	0.0	0.681	0.018	0.447429	0.134	0.395	0.47	0.019	0.023	0.029	16.2	0.447429	Use	England.and.Wales_IA	England.Southwest_IA	England.and.Wales_IA	England.and.Wales_IA	0.693444
	I5440	I5440	SB582A, 01.113, Sk 153			This study		3383	39	1500-1322 calBCE (3156±28 BP, OxA-V-2271-28)		Wales_MBA	Wales, Glamorgan, St. Fagan's	United Kingdom	51.488061	-3.268887		1	0.168	177357		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ds.half	S5440.L1	PASS	mtcontam=[0.952,0.976]	R-L21	K1c1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	Wales.South	MBA	0.0	0.589	0.018	0.343589	0.183	0.25	0.567	0.018	0.021	0.025	22.7	0.343589	Use	England.and.Wales_MBA	Wales.South_MBA	England.and.Wales_MBA	England.and.Wales_MBA	0.09769
	I6748	I6748	SB 410B3; tibia assoc. w/ Cranium 1			This study		5813	56	3956-3769 calBCE (5052±32 BP, OxA-19914)		England_N_o	England, Somerset, Mendip, Hay Wood Cave	United Kingdom	51.31951	-2.94847		1	0.019233	22288		M	n/a (no relatives detected)	CT																ds.half	S6748.L1	PASS	mtcontam=[0.943,0.963]	CT	H	Direct: IntCal20	1240K	0.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	N	0.0	0.734	0.031	0.08873	0.128	0.529	0.343	0.036	0.043	0.053	6.5	0.08873	Do not pool into main transects (<30000 SNPs)	Ignore_England.and.Wales_N	Ignore_England.Southwest_N	Ignore_England.and.Wales_N_highSteppe	England.and.Wales_N	0.0
	I6771	I6771	SB 585A			This study		2042	42	169 calBCE - 2 calCE (2080±25 BP, SUERC-97787)		Wales_IA	Wales, Glamorgan, Llantwit Major, Llanmaes	United Kingdom	51.416667	-3.466667		1	0.202733	207108		F	n/a (no relatives detected)	n/a (female)																ds.half	S6771.L1	PASS	mtcontam=[0.966,0.977]	n/a (female)	U4b1a	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	Wales.South	IA	0.0	0.644	0.016	0.217383	0.162	0.35	0.488	0.017	0.021	0.025	19.5	0.217383	Use	England.and.Wales_IA	Wales.South_IA	England.and.Wales_IA	England.and.Wales_IA	0.912685
	I6776	I6776	SB 616A; Skeleton 1			This study		4150	115	2400-2000 BCE		England_BellBeaker	England, Somerset, Storgoursey, Wick Barrow	United Kingdom	51.1807	-3.1413		1	0.224078	221559		M	n/a (no relatives detected)	R1b1a1b1a1a2																ds.half	S6776.L1	QUESTIONABLE	mtcontam=[0.906,0.938]	R-P312	R	Context: Archaeological - Period	1240K	1.0	0.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	C.EBA	0.0	0.619	0.016	0.25931	0.115	0.23	0.655	0.017	0.021	0.026	25.2	0.25931	Do not pool into main transects (QUESTIONABLE)	Ignore_England.and.Wales_C.EBA	Ignore_England.Southwest_C.EBA	Ignore_England.and.Wales_C.EBA_lowEEF	England.and.Wales_C.EBA	0.004857
	I6769	I6769	SB 551A; TRURI 1900-36-5			This study		2548	100	754-416 calBCE (2455±25 BP, BRAMS-1321)		England_IA	England, Cornwall, Padstow, St. Merryn, Harlyn Bay	United Kingdom	50.539905	-4.997809		1	3.647581	788365		M	n/a (no relatives detected)	R1b1a1b1a1a2																ds.half	S6769.L1	PASS	..	R-P312	H6a1b2	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Cornwall	IA	0.0	0.655	0.013	0.660328	0.136	0.377	0.487	0.015	0.017	0.021	23.2	0.660328	Use	England.and.Wales_IA	England.Cornwall_IA	England.and.Wales_IA	England.and.Wales_IA	0.365102
	I0525	I0525	OSA04:1032			This study		1975	43	100 BCE - 50 CE		England_EastYorkshire_LIA	England, East Riding of Yorkshire, Melton	United Kingdom	53.725076	-0.523009		2	0.234932	231911		F	United Kingdom, England, Yorkshire, East Riding, North Ferriby, Melton Quarry Family A (2 members) (I0525-M1489 are 2nd degree relatives)	n/a (female)																ds.half,ds.half	S0525.E1.L1,S0525.E1.L3	PASS	..	n/a (female)	U2e1e	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.642	0.015	0.605977	0.14	0.369	0.491	0.017	0.019	0.024	20.5	0.605977	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.943686
	I0371	I0371	SVP11, 40.1, Grachevka II 1/1/1			Additional data on individual first reported in MathiesonNature2015; see original publication for archaeological context	Direct: IntCal20	4678	83	2871-2581 calBCE (4130±30 BP, Beta-392488)		OldSteppe	Samara Oblast, Volga River Valley, Sok River, Grachevka	Russia	53.58975	50.57129167	1240K		1.513321	806519		M		R1b1a1b1																		PASS	Xcontam=[0.006,0.024]	R-Z2103	U2d2																								OldSteppe				
	I0527	I0527	OSA04:1823			This study		2200	87	400-100 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, East Riding, North Ferriby, Melton Quarry	United Kingdom	53.725076	-0.523009		2	0.035672	40953		F	n/a (no relatives detected)	n/a (female)																ds.half,ds.half	S0527.E1.L1,S0527.E1.L3	PASS	..	n/a (female)	U2e1	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.667	0.025	0.239601	0.147	0.381	0.471	0.028	0.034	0.041	11.5	0.239601	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.67306
	I2419	I2419	56240_10288			This study		4199	52	2393-2144 calBCE (3812±25 BP, NZA-32486)		England_BellBeaker_mediumEEF	England, Wiltshire, Amesbury Down	United Kingdom	51.168023	-1.7725402		7	0.074834	84202		F	n/a (no relatives detected)	n/a (female)																ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half	S2419.E1.L1,S2419.E1.L2,S2419.E1.L3,S2419.E1.L4,S2419.E1.L5,S2419.E1.L6,S2419.E1.L7	PASS	..	n/a (female)	H1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	C.EBA	0.0	0.663	0.019	0.655621	0.147	0.38	0.473	0.022	0.027	0.032	14.8	0.655621	Use	England.and.Wales_C.EBA	England.Southwest_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.602429
	I11034	I11034	Sk90			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	3.426877	779467		F	n/a (no relatives detected)	n/a (female)																ds.half	S11034.E1.L1	PASS	..	n/a (female)	H2a3b	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.665	0.013	0.610901	0.134	0.356	0.51	0.014	0.017	0.021	24.3	0.610901	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.367794
	I11033	I11033	Sk89			This study		2421	69	717-395 calBCE (2385±29 BP, SUERC-78046)		England_EastYorkshire_EIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	4.445546	803033		F	n/a (no relatives detected)	n/a (female)																ds.half	S11033.E1.L1	PASS	..	n/a (female)	H2a3b	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.69	0.013	0.613897	0.133	0.374	0.493	0.015	0.018	0.022	22.4	0.613897	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.740341
	I11147	I11147	GENLAB 22, Pit X			This study		2241	58	392-204 calBCE (2248±30 BP, SUERC-94978)		England_MIA	England, Somerset, Christon, Dibbles Farm	United Kingdom	51.313891	-2.885217		1	4.611682	784941		F	n/a (no relatives detected)	n/a (female)																ds.half	S11147.E1.L1	PASS	..	n/a (female)	U5a1b1e	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	IA	0.0	0.67	0.014	0.849738	0.141	0.373	0.486	0.014	0.017	0.02	24.3	0.849738	Use	England.and.Wales_IA	England.Southwest_IA	England.and.Wales_IA	England.and.Wales_IA	0.991968
	I11153	I11153	GENLAB 77, F. 339, Sk. 938, cat. 4785			This study		2285	62	405-209 calBCE (2291±29 BP, SUERC-49492)		England_MIA	England, Cambridgeshire, Trumpington Meadows	United Kingdom	52.170279	0.105604		1	4.060328	789688		M	n/a (no relatives detected)	R1b1a1b1a1a2c1a5c2																ds.half	S11153.E1.L1	PASS	Xcontam=[0.005,0.01]	R-BY11117	H3b	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	IA	0.0	0.694	0.013	0.738609	0.138	0.384	0.478	0.014	0.018	0.021	22.8	0.738609	Use	England.and.Wales_IA	England.EastAnglia_IA	England.and.Wales_IA	England.and.Wales_IA	0.616777
